Square 0,Square 1,Square 2,Square 3,Square 4,Square 5,Square 6,Square 7,Square 8,Square 9,Square 10,Square 11,Square 12,Square 13,Square 14,Square 15,Square 16,Square 17,Square 18,Square 19,Square 20,Square 21,Square 22,Square 23,Square 24,Square 25,Square 26,Square 27,Square 28,Square 29,Square 30,Square 31,Square 32,Square 33,Square 34,Square 35,Square 36,Square 37,Square 38,Square 39,Square 40,Square 41,Square 42,Square 43,Square 44,Square 45,Square 46,Square 47,Square 48,Square 49,Square 50,Square 51,Square 52,Square 53,Type
3,0,1,3,3,3,3,3,3,2,1,3,0,0,0,0,0,0,0,3,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LFRBRLFLFRBB
0,1,1,3,3,3,3,3,3,2,3,2,0,0,0,0,0,0,3,2,0,1,1,1,1,1,1,1,0,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FRRBLBLBFRFL
0,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FBBLFFRRRBLL
1,1,2,3,3,3,3,3,3,3,2,3,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1,2,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RRBLBLFLRBFF
2,0,0,3,3,3,3,3,3,1,3,3,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,3,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BFFRLLFBBLRR
3,2,1,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,1,1,3,1,1,1,1,1,1,0,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LBRBFFRRLFLB
2,2,3,3,3,3,3,3,3,0,0,2,0,0,0,0,0,0,3,3,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BBLFFBLLFRRR
2,0,0,3,3,3,3,3,3,1,2,3,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,3,3,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BFFRBLFRBLLR
2,0,2,2,2,2,2,2,2,3,1,0,3,3,3,3,3,3,1,3,3,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LRLFBRBFFRLB
0,3,0,3,3,3,3,3,3,1,2,1,0,0,0,0,0,0,2,1,2,1,1,1,1,1,1,3,0,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FLFRBRBRBLFL
2,3,3,3,3,3,3,3,3,0,2,2,0,0,0,0,0,0,3,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BLLFBBLFFRRR
0,0,1,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,1,3,2,1,1,1,1,1,1,3,2,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FFRBRFRLBLBL
3,3,1,3,3,3,3,3,3,2,2,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LLRBBLFFFRRB
0,2,0,3,3,3,3,3,3,1,3,1,0,0,0,0,0,0,2,0,2,1,1,1,1,1,1,3,1,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FBFRLRBFBLRL
3,0,0,3,3,3,3,3,3,1,2,1,0,0,0,0,0,0,2,1,3,1,1,1,1,1,1,0,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LFFRBRBRLFLB
0,2,1,3,3,3,3,3,3,2,3,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,3,0,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FBRBLFRRBLFL
1,0,2,3,3,3,3,3,3,3,2,3,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RFBLBLFRRBLF
3,3,3,3,3,3,3,3,3,0,2,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LLLFBFRFRBRB
2,3,0,0,0,0,0,0,0,1,0,2,1,1,1,1,1,1,3,2,3,2,2,2,2,2,2,0,1,1,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RBLFLRBRBLFF
2,0,0,3,3,3,3,3,3,1,2,3,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,3,3,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BFFRBLFRBLLR
2,1,0,3,3,3,3,3,3,1,3,3,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,3,2,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BRFRLLFFBLBR
2,2,3,3,3,3,3,3,3,0,0,2,0,0,0,0,0,0,3,3,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BBLFFBLLFRRR
0,1,1,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,1,3,2,1,1,1,1,1,1,3,0,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FRRBBFRLBLFL
3,0,1,3,3,3,3,3,3,2,1,3,0,0,0,0,0,0,0,3,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LFRBRLFLFRBB
0,3,1,3,3,3,3,3,3,2,1,2,0,0,0,0,0,0,3,0,0,1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FLRBRBLFFRBL
2,2,0,3,3,3,3,3,3,1,0,2,0,0,0,0,0,0,3,1,3,1,1,1,1,1,1,0,3,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BBFRFBLRLFLR
3,0,1,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,1,3,3,1,1,1,1,1,1,0,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LFRBBFRLLFRB
0,0,1,2,2,2,2,2,2,2,1,0,3,3,3,3,3,3,1,3,2,0,0,0,0,0,0,3,2,3,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RRBLBRBFLFLF
2,1,3,2,2,2,2,2,2,0,3,0,3,3,3,3,3,3,1,2,2,0,0,0,0,0,0,3,0,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LBFRFRBLLFRB
2,2,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,1,3,2,1,1,1,1,1,1,3,0,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BBLFRFRLBLFR
0,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FBBLFFRRRBLL
2,2,3,3,3,3,3,3,3,0,0,2,0,0,0,0,0,0,3,3,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BBLFFBLLFRRR
2,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,1,0,2,1,1,1,1,1,1,3,2,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BLLFRFRFBLBR
2,0,3,2,2,2,2,2,2,0,2,0,3,3,3,3,3,3,1,3,2,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LRFRLRBFLFBB
2,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,1,3,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BLLFFFRBBLRR
2,3,2,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,1,0,3,1,1,1,1,1,1,0,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BLBLBFRFLFRR
0,0,2,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,1,3,1,1,1,1,1,1,1,2,1,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FFBLBFRLRBRL
2,2,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,1,0,2,1,1,1,1,1,1,3,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BBLFLFRFBLRR
0,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,3,3,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RBBLLLFRRBFF
3,1,0,3,3,3,3,3,3,1,3,1,0,0,0,0,0,0,2,0,3,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LRFRLRBFLFBB
3,2,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,0,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LBLFLFRRRBFB
0,2,1,3,3,3,3,3,3,2,3,2,0,0,0,0,0,0,3,0,0,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FBRBLBLFFRRL
2,3,0,2,2,2,2,2,2,1,1,3,3,3,3,3,3,3,0,2,2,0,0,0,0,0,0,3,0,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LFRBBFRLLFRB
3,3,3,3,3,3,3,3,3,0,2,1,0,0,0,0,0,0,2,1,0,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LLLFBRBRFRFB
2,3,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,1,3,1,1,1,1,1,1,0,2,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BLBLFFRRLFBR
1,0,2,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,2,1,3,1,1,1,1,1,1,0,2,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RFBLLRBRLFBF
0,0,2,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,1,3,1,1,1,1,1,1,1,2,1,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FFBLBFRLRBRL
2,1,3,3,3,3,3,3,3,0,3,2,0,0,0,0,0,0,3,0,0,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BRLFLBLFFRBR
3,0,3,3,3,3,3,3,3,0,3,1,0,0,0,0,0,0,2,1,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LFLFLRBRFRBB
0,3,1,3,3,3,3,3,3,2,0,2,0,0,0,0,0,0,3,2,0,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FLRBFBLBFRRL
3,2,3,2,2,2,2,2,2,0,1,0,3,3,3,3,3,3,1,0,1,0,0,0,0,0,0,2,3,2,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FLFRBRBRBLFL
0,2,1,3,3,3,3,3,3,2,3,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,3,0,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FBRBLFRRBLFL
1,3,2,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,2,2,3,1,1,1,1,1,1,0,1,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RLBLFRBBLFRF
2,0,2,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,1,1,3,1,1,1,1,1,1,0,3,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BFBLBFRRLFLR
1,0,3,3,3,3,3,3,3,0,2,2,0,0,0,0,0,0,3,3,1,1,1,1,1,1,1,2,1,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RFLFBBLLRBRF
0,2,1,3,3,3,3,3,3,2,1,2,0,0,0,0,0,0,3,3,0,1,1,1,1,1,1,1,0,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FBRBRBLLFRFL
2,2,2,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,1,0,3,1,1,1,1,1,1,0,3,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BBBLRFRFLFLR
2,0,0,3,3,3,3,3,3,1,2,2,0,0,0,0,0,0,3,3,3,1,1,1,1,1,1,0,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BFFRBBLLLFRR
3,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,0,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BFLFLFRRBLBR
2,3,2,3,3,3,3,3,3,3,1,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BLBLRLFFFRBR
3,3,1,2,2,2,2,2,2,2,0,0,3,3,3,3,3,3,1,2,3,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FFBLRRBLFRBL
2,0,2,3,3,3,3,3,3,3,2,3,0,0,0,0,0,0,0,3,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BFBLBLFLFRRR
2,3,0,3,3,3,3,3,3,1,1,2,0,0,0,0,0,0,3,0,3,1,1,1,1,1,1,0,2,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BLFRRBLFLFBR
2,1,2,3,3,3,3,3,3,3,2,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BRBLBLFFFRLR
0,3,0,3,3,3,3,3,3,1,1,2,0,0,0,0,0,0,3,2,1,1,1,1,1,1,1,2,0,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FLFRRBLBRBFL
1,0,3,2,2,2,2,2,2,0,2,1,3,3,3,3,3,3,2,1,2,0,0,0,0,0,0,3,3,0,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BRFRLBLBLFFR
3,3,0,3,3,3,3,3,3,1,1,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LLFRRLFFRBBB
2,1,2,3,3,3,3,3,3,3,2,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BRBLBLFFFRLR
3,0,0,3,3,3,3,3,3,1,3,1,0,0,0,0,0,0,2,2,3,1,1,1,1,1,1,0,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LFFRLRBBLFRB
1,0,2,3,3,3,3,3,3,3,1,3,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1,2,2,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RFBLRLFLRBBF
3,0,3,3,3,3,3,3,3,0,1,1,0,0,0,0,0,0,2,2,0,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LFLFRRBBFRLB
0,1,2,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,2,0,0,1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FRBLLRBFFRBL
0,3,0,3,3,3,3,3,3,1,2,1,0,0,0,0,0,0,2,1,2,1,1,1,1,1,1,3,0,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FLFRBRBRBLFL
0,3,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,2,1,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FLBLFFRBRBRL
3,1,0,3,3,3,3,3,3,1,0,1,0,0,0,0,0,0,2,2,3,1,1,1,1,1,1,0,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LRFRFRBBLFLB
1,3,3,3,3,3,3,3,3,0,2,2,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,2,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RLLFBBLRRBFF
1,3,1,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,3,0,3,1,1,1,1,1,1,0,1,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RLRBBBLFLFRF
0,0,2,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FFBLLFRRRBBL
2,0,2,3,3,3,3,3,3,3,2,3,0,0,0,0,0,0,0,3,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BFBLBLFLFRRR
1,1,1,3,3,3,3,3,3,2,3,3,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,3,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RRRBLLFBBLFF
2,0,3,3,3,3,3,3,3,0,3,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,3,2,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BFLFLFRRBLBR
2,2,0,3,3,3,3,3,3,1,3,3,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,3,0,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BBFRLLFRBLFR
2,0,2,3,3,3,3,3,3,3,1,3,0,0,0,0,0,0,0,2,0,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BFBLRLFBFRLR
1,3,1,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,3,0,3,1,1,1,1,1,1,0,1,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RLRBBBLFLFRF
0,3,2,2,2,2,2,2,2,3,0,1,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,1,2,3,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RFLFRBLBRBLF
3,0,0,3,3,3,3,3,3,1,3,1,0,0,0,0,0,0,2,2,3,1,1,1,1,1,1,0,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,LFFRLRBBLFRB
2,3,3,3,3,3,3,3,3,0,0,2,0,0,0,0,0,0,3,1,0,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BLLFFBLRFRBR
0,3,2,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FLBLRFRFRBBL
0,1,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,3,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FRBLFFRLRBBL
0,3,2,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,2,1,0,1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,FLBLFRBRFRBL
2,2,0,3,3,3,3,3,3,1,0,2,0,0,0,0,0,0,3,1,3,1,1,1,1,1,1,0,3,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BBFRFBLRLFLR
2,0,3,3,3,3,3,3,3,0,1,2,0,0,0,0,0,0,3,3,0,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BFLFRBLLFRBR
1,0,1,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,3,1,3,1,1,1,1,1,1,0,3,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RFRBBBLRLFLF
2,1,0,3,3,3,3,3,3,1,3,3,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,3,2,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,BRFRLLFFBLBR
1,0,2,3,3,3,3,3,3,3,2,1,0,0,0,0,0,0,2,3,3,1,1,1,1,1,1,0,1,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,RFBLBRBLLFRF
